person_number,work_date,pay_code,hours,job,labor_level_1,labor_level_2,labor_level_3,shift_count
CNA048,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT1/CNA,UNITED_HEBREW,U-LT1,CNA,1
CNA049,2026-01-31,REG,7.75,UNITED_HEBREW/U-LT1/CNA,UNITED_HEBREW,U-LT1,CNA,1
CNA049,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT1/CNA,UNITED_HEBREW,U-LT1,CNA,1
CNA050,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT1/CNA,UNITED_HEBREW,U-LT1,CNA,1
CNA051,2026-01-31,REG,7.75,UNITED_HEBREW/U-LT1/CNA,UNITED_HEBREW,U-LT1,CNA,1
CNA052,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT1/CNA,UNITED_HEBREW,U-LT1,CNA,1
CNA053,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT1/CNA,UNITED_HEBREW,U-LT1,CNA,1
CNA054,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT1/CNA,UNITED_HEBREW,U-LT1,CNA,1
CNA055,2026-01-31,REG,7.75,UNITED_HEBREW/U-LT1/CNA,UNITED_HEBREW,U-LT1,CNA,1
CNA056,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT1/CNA,UNITED_HEBREW,U-LT1,CNA,1
CNA057,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT1/CNA,UNITED_HEBREW,U-LT1,CNA,1
CNA058,2026-01-31,REG,7.75,UNITED_HEBREW/U-LT1/CNA,UNITED_HEBREW,U-LT1,CNA,1
CNA060,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT1/CNA,UNITED_HEBREW,U-LT1,CNA,1
CNA062,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT2/CNA,UNITED_HEBREW,U-LT2,CNA,1
CNA063,2026-01-31,REG,7.75,UNITED_HEBREW/U-LT2/CNA,UNITED_HEBREW,U-LT2,CNA,1
CNA063,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT2/CNA,UNITED_HEBREW,U-LT2,CNA,1
CNA064,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT2/CNA,UNITED_HEBREW,U-LT2,CNA,1
CNA065,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT2/CNA,UNITED_HEBREW,U-LT2,CNA,1
CNA066,2026-01-31,REG,7.75,UNITED_HEBREW/U-LT2/CNA,UNITED_HEBREW,U-LT2,CNA,1
CNA068,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT2/CNA,UNITED_HEBREW,U-LT2,CNA,1
CNA070,2026-01-31,REG,7.75,UNITED_HEBREW/U-LT2/CNA,UNITED_HEBREW,U-LT2,CNA,1
CNA070,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT2/CNA,UNITED_HEBREW,U-LT2,CNA,1
CNA071,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT2/CNA,UNITED_HEBREW,U-LT2,CNA,1
CNA072,2026-01-31,REG,7.75,UNITED_HEBREW/U-LT2/CNA,UNITED_HEBREW,U-LT2,CNA,1
CNA072,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT2/CNA,UNITED_HEBREW,U-LT2,CNA,1
CNA073,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT2/CNA,UNITED_HEBREW,U-LT2,CNA,1
CNA074,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT2/CNA,UNITED_HEBREW,U-LT2,CNA,1
CNA075,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT3/CNA,UNITED_HEBREW,U-LT3,CNA,1
CNA076,2026-01-31,REG,7.75,UNITED_HEBREW/U-LT3/CNA,UNITED_HEBREW,U-LT3,CNA,1
CNA076,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT3/CNA,UNITED_HEBREW,U-LT3,CNA,1
CNA077,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT3/CNA,UNITED_HEBREW,U-LT3,CNA,1
CNA078,2026-01-31,REG,7.75,UNITED_HEBREW/U-LT3/CNA,UNITED_HEBREW,U-LT3,CNA,1
CNA078,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT3/CNA,UNITED_HEBREW,U-LT3,CNA,1
CNA079,2026-01-31,REG,7.75,UNITED_HEBREW/U-LT3/CNA,UNITED_HEBREW,U-LT3,CNA,1
CNA079,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT3/CNA,UNITED_HEBREW,U-LT3,CNA,1
CNA080,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT3/CNA,UNITED_HEBREW,U-LT3,CNA,1
CNA081,2026-01-31,REG,7.75,UNITED_HEBREW/U-LT3/CNA,UNITED_HEBREW,U-LT3,CNA,1
CNA082,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT3/CNA,UNITED_HEBREW,U-LT3,CNA,1
CNA083,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT3/CNA,UNITED_HEBREW,U-LT3,CNA,1
CNA084,2026-01-31,REG,7.75,UNITED_HEBREW/U-LT3/CNA,UNITED_HEBREW,U-LT3,CNA,1
CNA084,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT3/CNA,UNITED_HEBREW,U-LT3,CNA,1
CNA085,2026-01-31,REG,7.75,UNITED_HEBREW/U-LT4/CNA,UNITED_HEBREW,U-LT4,CNA,1
CNA085,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT4/CNA,UNITED_HEBREW,U-LT4,CNA,1
CNA087,2026-01-31,REG,7.75,UNITED_HEBREW/U-LT4/CNA,UNITED_HEBREW,U-LT4,CNA,1
CNA087,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT4/CNA,UNITED_HEBREW,U-LT4,CNA,1
CNA088,2026-01-31,REG,7.75,UNITED_HEBREW/U-LT4/CNA,UNITED_HEBREW,U-LT4,CNA,1
CNA088,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT4/CNA,UNITED_HEBREW,U-LT4,CNA,1
CNA090,2026-01-31,REG,7.75,UNITED_HEBREW/U-LT4/CNA,UNITED_HEBREW,U-LT4,CNA,1
CNA090,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT4/CNA,UNITED_HEBREW,U-LT4,CNA,1
CNA091,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT4/CNA,UNITED_HEBREW,U-LT4,CNA,1
CNA092,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT4/CNA,UNITED_HEBREW,U-LT4,CNA,1
CNA093,2026-01-31,REG,7.75,UNITED_HEBREW/U-LT4/CNA,UNITED_HEBREW,U-LT4,CNA,1
CNA093,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT4/CNA,UNITED_HEBREW,U-LT4,CNA,1
CNA094,2026-01-31,REG,7.75,UNITED_HEBREW/U-LT4/CNA,UNITED_HEBREW,U-LT4,CNA,1
CNA095,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT5/CNA,UNITED_HEBREW,U-LT5,CNA,1
CNA096,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT5/CNA,UNITED_HEBREW,U-LT5,CNA,1
CNA097,2026-01-31,REG,7.75,UNITED_HEBREW/U-LT5/CNA,UNITED_HEBREW,U-LT5,CNA,1
CNA097,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT5/CNA,UNITED_HEBREW,U-LT5,CNA,1
CNA098,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT5/CNA,UNITED_HEBREW,U-LT5,CNA,1
CNA100,2026-01-31,REG,7.75,UNITED_HEBREW/U-LT5/CNA,UNITED_HEBREW,U-LT5,CNA,1
CNA100,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT5/CNA,UNITED_HEBREW,U-LT5,CNA,1
CNA102,2026-01-31,REG,7.75,UNITED_HEBREW/U-LT6/CNA,UNITED_HEBREW,U-LT6,CNA,1
CNA103,2026-01-31,REG,7.75,UNITED_HEBREW/U-LT6/CNA,UNITED_HEBREW,U-LT6,CNA,1
CNA103,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT6/CNA,UNITED_HEBREW,U-LT6,CNA,1
CNA105,2026-01-31,REG,7.75,UNITED_HEBREW/U-LT6/CNA,UNITED_HEBREW,U-LT6,CNA,1
CNA105,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT6/CNA,UNITED_HEBREW,U-LT6,CNA,1
CNA106,2026-01-31,REG,7.75,UNITED_HEBREW/U-LT6/CNA,UNITED_HEBREW,U-LT6,CNA,1
CNA106,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT6/CNA,UNITED_HEBREW,U-LT6,CNA,1
CNA107,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT6/CNA,UNITED_HEBREW,U-LT6,CNA,1
CNA108,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT6/CNA,UNITED_HEBREW,U-LT6,CNA,1
CNA109,2026-01-31,REG,7.75,UNITED_HEBREW/U-LT6/CNA,UNITED_HEBREW,U-LT6,CNA,1
CNA109,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT6/CNA,UNITED_HEBREW,U-LT6,CNA,1
CNA110,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT6/CNA,UNITED_HEBREW,U-LT6,CNA,1
CNA111,2026-01-31,REG,7.75,UNITED_HEBREW/U-LT6/CNA,UNITED_HEBREW,U-LT6,CNA,1
CNA111,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT6/CNA,UNITED_HEBREW,U-LT6,CNA,1
CNA112,2026-01-31,REG,7.75,UNITED_HEBREW/U-LT6/CNA,UNITED_HEBREW,U-LT6,CNA,1
CNA112,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT6/CNA,UNITED_HEBREW,U-LT6,CNA,1
CNA113,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT7/CNA,UNITED_HEBREW,U-LT7,CNA,1
CNA114,2026-01-31,REG,7.75,UNITED_HEBREW/U-LT7/CNA,UNITED_HEBREW,U-LT7,CNA,1
CNA114,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT7/CNA,UNITED_HEBREW,U-LT7,CNA,1
CNA115,2026-01-31,REG,7.75,UNITED_HEBREW/U-LT7/CNA,UNITED_HEBREW,U-LT7,CNA,1
CNA115,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT7/CNA,UNITED_HEBREW,U-LT7,CNA,1
CNA117,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT7/CNA,UNITED_HEBREW,U-LT7,CNA,1
CNA118,2026-01-31,REG,7.75,UNITED_HEBREW/U-LT7/CNA,UNITED_HEBREW,U-LT7,CNA,1
CNA118,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT7/CNA,UNITED_HEBREW,U-LT7,CNA,1
CNA119,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT7/CNA,UNITED_HEBREW,U-LT7,CNA,1
CNA120,2026-01-31,REG,7.75,UNITED_HEBREW/U-LT7/CNA,UNITED_HEBREW,U-LT7,CNA,1
CNA120,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT7/CNA,UNITED_HEBREW,U-LT7,CNA,1
CNA121,2026-01-31,REG,7.75,UNITED_HEBREW/U-LT7/CNA,UNITED_HEBREW,U-LT7,CNA,1
CNA123,2026-01-31,REG,7.75,UNITED_HEBREW/U-LT7/CNA,UNITED_HEBREW,U-LT7,CNA,1
CNA123,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT7/CNA,UNITED_HEBREW,U-LT7,CNA,1
CNA124,2026-01-31,REG,7.75,UNITED_HEBREW/U-LT7/CNA,UNITED_HEBREW,U-LT7,CNA,1
CNA125,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT8/CNA,UNITED_HEBREW,U-LT8,CNA,1
CNA126,2026-01-31,REG,7.75,UNITED_HEBREW/U-LT8/CNA,UNITED_HEBREW,U-LT8,CNA,1
CNA126,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT8/CNA,UNITED_HEBREW,U-LT8,CNA,1
CNA127,2026-01-31,REG,7.75,UNITED_HEBREW/U-LT8/CNA,UNITED_HEBREW,U-LT8,CNA,1
CNA129,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT8/CNA,UNITED_HEBREW,U-LT8,CNA,1
CNA130,2026-01-31,REG,7.75,UNITED_HEBREW/U-LT8/CNA,UNITED_HEBREW,U-LT8,CNA,1
CNA130,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT8/CNA,UNITED_HEBREW,U-LT8,CNA,1
CNA131,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT8/CNA,UNITED_HEBREW,U-LT8,CNA,1
CNA132,2026-01-31,REG,7.75,UNITED_HEBREW/U-LT8/CNA,UNITED_HEBREW,U-LT8,CNA,1
CNA133,2026-01-31,REG,7.75,UNITED_HEBREW/U-LT8/CNA,UNITED_HEBREW,U-LT8,CNA,1
CNA133,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT8/CNA,UNITED_HEBREW,U-LT8,CNA,1
CNA134,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT8/CNA,UNITED_HEBREW,U-LT8,CNA,1
CNA135,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT8/CNA,UNITED_HEBREW,U-LT8,CNA,1
CNA136,2026-01-31,REG,7.75,UNITED_HEBREW/U-LT8/CNA,UNITED_HEBREW,U-LT8,CNA,1
LPN001,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT3/LPN,UNITED_HEBREW,U-LT3,LPN,1
LPN002,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT4/LPN,UNITED_HEBREW,U-LT4,LPN,1
LPN003,2026-01-31,REG,7.75,UNITED_HEBREW/U-SA4/LPN,UNITED_HEBREW,U-SA4,LPN,1
LPN003,2026-02-01,REG,7.75,UNITED_HEBREW/U-SA4/LPN,UNITED_HEBREW,U-SA4,LPN,1
PCT001,2026-01-31,REG,7.75,UNITED_HEBREW/U-SA1/PCT,UNITED_HEBREW,U-SA1,PCT,1
PCT002,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT5/PCT,UNITED_HEBREW,U-LT5,PCT,1
RN001,2026-02-01,REG,7.75,UNITED_HEBREW/U-SA1/RN,UNITED_HEBREW,U-SA1,RN,1
RN002,2026-02-01,REG,7.75,UNITED_HEBREW/U-SA2/RN,UNITED_HEBREW,U-SA2,RN,1
RN004,2026-02-01,REG,7.75,UNITED_HEBREW/U-SA3/RN,UNITED_HEBREW,U-SA3,RN,1
RN005,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT1/RN,UNITED_HEBREW,U-LT1,RN,1
RN006,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT2/RN,UNITED_HEBREW,U-LT2,RN,1
RN007,2026-02-01,REG,7.75,UNITED_HEBREW/U-SA1/RN,UNITED_HEBREW,U-SA1,RN,1
RN008,2026-02-01,REG,7.75,UNITED_HEBREW/U-SA1/RN,UNITED_HEBREW,U-SA1,RN,1
RN011,2026-01-31,REG,7.75,UNITED_HEBREW/U-SA1/RN,UNITED_HEBREW,U-SA1,RN,1
RN011,2026-02-01,REG,7.75,UNITED_HEBREW/U-SA1/RN,UNITED_HEBREW,U-SA1,RN,1
RN012,2026-01-31,REG,7.75,UNITED_HEBREW/U-SA1/RN,UNITED_HEBREW,U-SA1,RN,1
RN012,2026-02-01,REG,7.75,UNITED_HEBREW/U-SA1/RN,UNITED_HEBREW,U-SA1,RN,1
RN013,2026-02-01,REG,7.75,UNITED_HEBREW/U-SA1/RN,UNITED_HEBREW,U-SA1,RN,1
RN014,2026-01-31,REG,7.75,UNITED_HEBREW/U-SA2/RN,UNITED_HEBREW,U-SA2,RN,1
RN015,2026-01-31,REG,7.75,UNITED_HEBREW/U-SA2/RN,UNITED_HEBREW,U-SA2,RN,1
RN015,2026-02-01,REG,7.75,UNITED_HEBREW/U-SA2/RN,UNITED_HEBREW,U-SA2,RN,1
RN016,2026-02-01,REG,7.75,UNITED_HEBREW/U-SA2/RN,UNITED_HEBREW,U-SA2,RN,1
RN017,2026-02-01,REG,7.75,UNITED_HEBREW/U-SA2/RN,UNITED_HEBREW,U-SA2,RN,1
RN018,2026-02-01,REG,7.75,UNITED_HEBREW/U-SA2/RN,UNITED_HEBREW,U-SA2,RN,1
RN020,2026-01-31,REG,7.75,UNITED_HEBREW/U-SA2/RN,UNITED_HEBREW,U-SA2,RN,1
RN020,2026-02-01,REG,7.75,UNITED_HEBREW/U-SA2/RN,UNITED_HEBREW,U-SA2,RN,1
RN021,2026-01-31,REG,7.75,UNITED_HEBREW/U-SA2/RN,UNITED_HEBREW,U-SA2,RN,1
RN021,2026-02-01,REG,7.75,UNITED_HEBREW/U-SA2/RN,UNITED_HEBREW,U-SA2,RN,1
RN022,2026-02-01,REG,7.75,UNITED_HEBREW/U-SA3/RN,UNITED_HEBREW,U-SA3,RN,1
RN023,2026-01-31,REG,7.75,UNITED_HEBREW/U-SA3/RN,UNITED_HEBREW,U-SA3,RN,1
RN024,2026-01-31,REG,7.75,UNITED_HEBREW/U-SA3/RN,UNITED_HEBREW,U-SA3,RN,1
RN024,2026-02-01,REG,7.75,UNITED_HEBREW/U-SA3/RN,UNITED_HEBREW,U-SA3,RN,1
RN025,2026-02-01,REG,7.75,UNITED_HEBREW/U-SA3/RN,UNITED_HEBREW,U-SA3,RN,1
RN026,2026-01-31,REG,7.75,UNITED_HEBREW/U-SA3/RN,UNITED_HEBREW,U-SA3,RN,1
RN026,2026-02-01,REG,7.75,UNITED_HEBREW/U-SA3/RN,UNITED_HEBREW,U-SA3,RN,1
RN027,2026-01-31,REG,7.75,UNITED_HEBREW/U-SA3/RN,UNITED_HEBREW,U-SA3,RN,1
RN027,2026-02-01,REG,7.75,UNITED_HEBREW/U-SA3/RN,UNITED_HEBREW,U-SA3,RN,1
RN029,2026-01-31,REG,7.75,UNITED_HEBREW/U-SA3/RN,UNITED_HEBREW,U-SA3,RN,1
RN029,2026-02-01,REG,7.75,UNITED_HEBREW/U-SA3/RN,UNITED_HEBREW,U-SA3,RN,1
RN030,2026-01-31,REG,7.75,UNITED_HEBREW/U-SA4/RN,UNITED_HEBREW,U-SA4,RN,1
RN031,2026-02-01,REG,7.75,UNITED_HEBREW/U-SA4/RN,UNITED_HEBREW,U-SA4,RN,1
RN032,2026-01-31,REG,7.75,UNITED_HEBREW/U-SA4/RN,UNITED_HEBREW,U-SA4,RN,1
RN032,2026-02-01,REG,7.75,UNITED_HEBREW/U-SA4/RN,UNITED_HEBREW,U-SA4,RN,1
RN034,2026-02-01,REG,7.75,UNITED_HEBREW/U-SA4/RN,UNITED_HEBREW,U-SA4,RN,1
RN035,2026-01-31,REG,7.75,UNITED_HEBREW/U-SA4/RN,UNITED_HEBREW,U-SA4,RN,1
RN036,2026-01-31,REG,7.75,UNITED_HEBREW/U-SA4/RN,UNITED_HEBREW,U-SA4,RN,1
RN037,2026-02-01,REG,7.75,UNITED_HEBREW/U-SA4/RN,UNITED_HEBREW,U-SA4,RN,1
RN039,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT1/RN,UNITED_HEBREW,U-LT1,RN,1
RN040,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT1/RN,UNITED_HEBREW,U-LT1,RN,1
RN041,2026-01-31,REG,7.75,UNITED_HEBREW/U-LT1/RN,UNITED_HEBREW,U-LT1,RN,1
RN041,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT1/RN,UNITED_HEBREW,U-LT1,RN,1
RN042,2026-01-31,REG,7.75,UNITED_HEBREW/U-LT2/RN,UNITED_HEBREW,U-LT2,RN,1
RN044,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT2/RN,UNITED_HEBREW,U-LT2,RN,1
RN045,2026-01-31,REG,7.75,UNITED_HEBREW/U-LT2/RN,UNITED_HEBREW,U-LT2,RN,1
RN046,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT3/RN,UNITED_HEBREW,U-LT3,RN,1
RN047,2026-01-31,REG,7.75,UNITED_HEBREW/U-LT3/RN,UNITED_HEBREW,U-LT3,RN,1
RN047,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT3/RN,UNITED_HEBREW,U-LT3,RN,1
RN048,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT3/RN,UNITED_HEBREW,U-LT3,RN,1
RN050,2026-01-31,REG,7.75,UNITED_HEBREW/U-LT4/RN,UNITED_HEBREW,U-LT4,RN,1
RN051,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT4/RN,UNITED_HEBREW,U-LT4,RN,1
RN052,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT4/RN,UNITED_HEBREW,U-LT4,RN,1
RN053,2026-01-31,REG,7.75,UNITED_HEBREW/U-LT4/RN,UNITED_HEBREW,U-LT4,RN,1
